claim_id,track,topic,claim,evidence_class,confidence,population,competitive_level,sex,age_range,study_design,sample_size,effect_or_estimate,boxing_specific,transfer_status,limitations,source_type,citation,doi_or_pmid,url,verification,ppbf_implication,tbd_flag,agent,independent_verification_status,independent_verification_detail,verified_title,track_name,title_consistency_check
PS-027,,,No negative effects of impacts sustained during boxing and basketball,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,,,,,,,,NO,transferred from other sport/population,,peer-reviewed journal article,Vestibular Assessment in University Students Participating in Boxing and Basketball. The Journal of craniofacial surgery ({'ye).,PMID 40888844 | DOI 10.1097/SCS.0000000000011624,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 40888844 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 40888844 | DOI 10.1097/SCS.0000000000011624,Vestibular Assessment in University Students Participating in Boxing and Basketball.,Penn State full-text extraction,
PS-028,,,"A bodyweight conditioning activity produced a small overall effect of 0.30 (95% CI 0.14–0.46, p = 0.0003) in favor of improving a subsequent vertical jump or linear sprint performance compared with a control condition.",VERIFIED EVIDENCE,moderate,"Healthy, active adults (specific n, sex, and age not stated in this excerpt); 19 studies included overall.",,,,Systematic review and meta-analysis of randomized controlled trials.,,"0.30 (95% confidence interval 0.14–0.46, p = 0.0003)",NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,Postactivation Performance Enhancement in Healthy Adults Using a Bodyweight Conditioning Activity: A Systematic Review and Meta-analysis. Journal of strength and conditioning researc ({'ye).,PMID 36662121 | DOI 10.1519/JSC.0000000000004370,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 36662121 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 36662121 | DOI 10.1519/JSC.0000000000004370,Postactivation Performance Enhancement in Healthy Adults Using a Bodyweight Conditioning Activity: A Systematic Review and Meta-analysis.,Penn State full-text extraction,
PS-029,,,Secondary analysis found no difference in the effect of bodyweight conditioning activities between the vertical jump and sprint subgroups.,VERIFIED EVIDENCE,moderate,"Healthy, active adults (specific n, sex, and age not stated in this excerpt); drawn from the 19 included studies.",,,,Systematic review and meta-analysis of randomized controlled trials (secondary/subgroup analysis).,,NONE STATED,NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,Postactivation Performance Enhancement in Healthy Adults Using a Bodyweight Conditioning Activity: A Systematic Review and Meta-analysis. Journal of strength and conditioning researc ({'ye).,PMID 36662121 | DOI 10.1519/JSC.0000000000004370,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 36662121 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 36662121 | DOI 10.1519/JSC.0000000000004370,Postactivation Performance Enhancement in Healthy Adults Using a Bodyweight Conditioning Activity: A Systematic Review and Meta-analysis.,Penn State full-text extraction,
PS-030,,,"Secondary analysis found no difference in effect based on the time interval between intervention and outcome measurement (less than 5 minutes vs. 5 minutes or greater), nor based on whether the intervention used the same or different movements than the outcome task.",VERIFIED EVIDENCE,moderate,"Healthy, active adults (specific n, sex, and age not stated in this excerpt); drawn from the 19 included studies.",,,,Systematic review and meta-analysis of randomized controlled trials (secondary/subgroup analysis).,,NONE STATED,NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,Postactivation Performance Enhancement in Healthy Adults Using a Bodyweight Conditioning Activity: A Systematic Review and Meta-analysis. Journal of strength and conditioning researc ({'ye).,PMID 36662121 | DOI 10.1519/JSC.0000000000004370,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 36662121 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 36662121 | DOI 10.1519/JSC.0000000000004370,Postactivation Performance Enhancement in Healthy Adults Using a Bodyweight Conditioning Activity: A Systematic Review and Meta-analysis.,Penn State full-text extraction,
PS-031,,,"Three sets of 3–4 back-squat repetitions at 60, 90, and 90% 1RM significantly increased peak torque (p < 0.05) in all concentric and eccentric muscle actions and average power per repetition (p < 0.05) in all muscle actions except eccentric flexion during the localized (knee) isokinetic tests, with medium to large effect sizes.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"12 male basketball players, age 21.3 ± 3.2 years, body mass 89.6 ± 14.1 kg, height 187.4 ± 4.6 cm, 1RM back squat 113 ± 21 kg, ≥2 years resistance-training experience",,,,"Randomized order, within-subject, pre-test/post-test design with localized and nonlocalized protocols divided into 2 days",,Significant increase (p < 0.05) in PT for all CON and ECC actions; significant increase (p < 0.05) in APPR for all muscle actions except ECC flexion; effect sizes large (>0.8) and medium (0.4–0.79),NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,High-Intensity Conditioning Activity Causes Localized Postactivation Performance Enhancement and Nonlocalized Performance Reduction. Journal of strength and conditioning researc ({'ye).,PMID 38085631 | DOI 10.1519/JSC.0000000000004590,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 38085631 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 38085631 | DOI 10.1519/JSC.0000000000004590,High-Intensity Conditioning Activity Causes Localized Postactivation Performance Enhancement and Nonlocalized Performance Reduction.,Penn State full-text extraction,
PS-032,,,The same conditioning activity (back squat) significantly decreased peak torque (p < 0.01) and average power per repetition (p < 0.01) in the nonlocalized (elbow) isokinetic test specifically in eccentric flexion.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"12 male basketball players, age 21.3 ± 3.2 years, body mass 89.6 ± 14.1 kg, height 187.4 ± 4.6 cm, 1RM back squat 113 ± 21 kg, ≥2 years resistance-training experience",,,,"Randomized order, within-subject, pre-test/post-test design with localized and nonlocalized protocols divided into 2 days",,Significant decrease (p < 0.01) in PT and APPR (p < 0.01) in ECC flexion (nonlocalized),NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,High-Intensity Conditioning Activity Causes Localized Postactivation Performance Enhancement and Nonlocalized Performance Reduction. Journal of strength and conditioning researc ({'ye).,PMID 38085631 | DOI 10.1519/JSC.0000000000004590,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 38085631 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 38085631 | DOI 10.1519/JSC.0000000000004590,High-Intensity Conditioning Activity Causes Localized Postactivation Performance Enhancement and Nonlocalized Performance Reduction.,Penn State full-text extraction,
PS-033,,,Countermovement jump and explosive push-up take-off height showed no significant differences between pre- and post-measures following the conditioning activity.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"12 male basketball players, age 21.3 ± 3.2 years, body mass 89.6 ± 14.1 kg, height 187.4 ± 4.6 cm, 1RM back squat 113 ± 21 kg, ≥2 years resistance-training experience",,,,"Randomized order, within-subject, pre-test/post-test design with localized and nonlocalized protocols divided into 2 days EFFEC",,,NO,transferred from other sport/population,,peer-reviewed journal article,High-Intensity Conditioning Activity Causes Localized Postactivation Performance Enhancement and Nonlocalized Performance Reduction. Journal of strength and conditioning researc ({'ye).,PMID 38085631 | DOI 10.1519/JSC.0000000000004590,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 38085631 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 38085631 | DOI 10.1519/JSC.0000000000004590,High-Intensity Conditioning Activity Causes Localized Postactivation Performance Enhancement and Nonlocalized Performance Reduction.,Penn State full-text extraction,
PS-034,,,"Seven weeks of repeated sprint training in heat (RSHT) increased the number of repeated sprints performed during a repeated sprint ability (RSA) test under temperate conditions from 15 to 21 in males and from 8 to 13 in females (p < 0.001), with no significant change after training in temperate conditions (CON).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Active males and females; HEAT group males n=12, females n=14; CON group males n=12, females n=13 (age not stated in provided text)",,,,"Repeated sprint training twice a week for 7 weeks in temperate (CON, 20°C, 55% RH) or hot (HEAT, 30°C, 60% RH) conditions, with pre/post RSA testing",,Sprint number during RSA increased after HEAT from 15 to 21 in males and from 8 to 13 in females (p < 0.001); no significant changes after CON,NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,Repeated Sprint Training in Heat Improves Repeated Sprint Ability Under Temperate Conditions Similarly in Active Males and Females. European journal of sport science ({'ye).,PMID 41720497 | DOI 10.1002/ejsc.70126,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 41720497 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 41720497 | DOI 10.1002/ejsc.70126,Repeated Sprint Training in Heat Improves Repeated Sprint Ability Under Temperate Conditions Similarly in Active Males and Females.,Penn State full-text extraction,
PS-035,,,VO2peak during an incremental exercise test increased by 3 ± 1 mL·kg−1·min−1 (p = 0.032) and mean power output during a Wingate test increased by 0.41 ± 0.15 W·kg−1 (p = 0.007) in all groups after training.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Active males and females; HEAT group males n=12, females n=14; CON group males n=12, females n=13 (age not stated in provided text)",,,,"7 weeks of repeated sprint training twice a week in temperate (CON) or hot (HEAT) conditions, with pre/post evaluation of aerobic and anaerobic qualities under temperate conditions",,"VO2peak +3 ± 1 mL·kg−1·min−1 (p = 0.032); Wingate mean power output +0.41 ± 0.15 W·kg−1 (p = 0.007), increased in all groups",NO,transferred from other sport/population,NONE STATED,peer-reviewed journal article,Repeated Sprint Training in Heat Improves Repeated Sprint Ability Under Temperate Conditions Similarly in Active Males and Females. European journal of sport science ({'ye).,PMID 41720497 | DOI 10.1002/ejsc.70126,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 41720497 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 41720497 | DOI 10.1002/ejsc.70126,Repeated Sprint Training in Heat Improves Repeated Sprint Ability Under Temperate Conditions Similarly in Active Males and Females.,Penn State full-text extraction,
PS-036,,,"In the HEAT group only, core temperature was lower at Training 12 (TR12) than Training 1 (TR1) by 0.16 ± 0.07°C (p = 0.015) and thermal sensation decreased by 1 ± 0 (p < 0.001) in both sexes, while skin temperature, sweat rate, and whole-body sweat sodium concentration showed no changes.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Active males and females in the HEAT group (males n=12, females n=14)",,,,Thermoregulatory responses measured on Training 1 (TR1) and Training 12 (TR12) during the,,,NO,transferred from other sport/population,,peer-reviewed journal article,Repeated Sprint Training in Heat Improves Repeated Sprint Ability Under Temperate Conditions Similarly in Active Males and Females. European journal of sport science ({'ye).,PMID 41720497 | DOI 10.1002/ejsc.70126,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 41720497 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 41720497 | DOI 10.1002/ejsc.70126,Repeated Sprint Training in Heat Improves Repeated Sprint Ability Under Temperate Conditions Similarly in Active Males and Females.,Penn State full-text extraction,
PS-037,,,"In a 12-week individualized strength and conditioning intervention, 32 of 36 possible test metrics improved beyond the baseline SD for 3 amateur female golfers, compared with 23 of 36 for 3 professional female golfers.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,3 high-level amateur and 3 professional female golfers,,,,"Individualized, case series approach; 12-week S&C intervention with 2 structured sessions per week, pre- and post-testing",,Amateurs: 32/36 metrics changed ≥ baseline SD; Professionals: 23/36 metrics changed ≥ baseline SD,NO,transferred from other sport/population,NONE STATED (in provided text),peer-reviewed journal article,A 12-Week Strength and Conditioning Intervention: An Individualized Case Series Approach for 3 Amateur and 3 Professional Female Golfers. Journal of strength and conditioning researc ({'ye).,PMID 41701315 | DOI 10.1519/JSC.0000000000005342,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 41701315 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 41701315 | DOI 10.1519/JSC.0000000000005342,A 12-Week Strength and Conditioning Intervention: An Individualized Case Series Approach for 3 Amateur and 3 Professional Female Golfers.,Penn State full-text extraction,
PS-038,,,"The lower rate of meaningful change in the professional group was largely attributable to ""professional 1,"" who showed only 4 ""true"" improvements out of a possible 12 test scores.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"Professional female golfers (individual case: ""professional 1"")",,,,"Individualized, case series approach; single case within the 12-week S&C intervention",,"4 out of 12 possible metrics showed ""true"" improvement",NO,transferred from other sport/population,NONE STATED (in provided text),peer-reviewed journal article,A 12-Week Strength and Conditioning Intervention: An Individualized Case Series Approach for 3 Amateur and 3 Professional Female Golfers. Journal of strength and conditioning researc ({'ye).,PMID 41701315 | DOI 10.1519/JSC.0000000000005342,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 41701315 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 41701315 | DOI 10.1519/JSC.0000000000005342,A 12-Week Strength and Conditioning Intervention: An Individualized Case Series Approach for 3 Amateur and 3 Professional Female Golfers.,Penn State full-text extraction,
PS-039,,,"In prior research cited by the authors, a golf-specific training intervention (GSRT) produced a moderate improvement in driver clubhead speed (ES = 0.73), while a traditional resistance training (TRAD) intervention produced a large improvement (ES = 0.85).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,NONE STATED (population details from the cited Hegedus et al. study are not given in this excerpt),,,,"NONE STATED (described only as a comparison between GSRT and TRAD interventions, cited from another study, not the design of this paper)",,GSRT: ES = 0.73 (moderate); TRAD: ES = 0.85 (large),NO,transferred from other sport/population,The authors note the GSR,peer-reviewed journal article,A 12-Week Strength and Conditioning Intervention: An Individualized Case Series Approach for 3 Amateur and 3 Professional Female Golfers. Journal of strength and conditioning researc ({'ye).,PMID 41701315 | DOI 10.1519/JSC.0000000000005342,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 41701315 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 41701315 | DOI 10.1519/JSC.0000000000005342,A 12-Week Strength and Conditioning Intervention: An Individualized Case Series Approach for 3 Amateur and 3 Professional Female Golfers.,Penn State full-text extraction,
PS-040,,,"This study found a positive correlation between knee extensor peak torque and GRFz, GRFy, and COPy during cross-punch performance in highly trained amateur boxers.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"12 male amateur boxers, body mass range 64.5–112.2 kg, mean 89.2 ± 17.0 kg (age not stated)",,,,NONE STATED,,NONE STATED,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Impact of Leg Strength on the Force Produced During a Cross-Punch in Highly Trained Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 39074243 | DOI 10.1519/JSC.0000000000004867,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 39074243 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 39074243 | DOI 10.1519/JSC.0000000000004867,Impact of Leg Strength on the Force Produced During a Cross-Punch in Highly Trained Amateur Boxers.,Penn State full-text extraction,
PS-041,,,The GRMz gradient and GRMz impulse during the execution phase of the cross-punch had a significant positive effect on cross-punch force.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"12 male amateur boxers, body mass range 64.5–112.2 kg, mean 89.2 ± 17.0 kg (age not stated)",,,,NONE STATED,,NONE STATED,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Impact of Leg Strength on the Force Produced During a Cross-Punch in Highly Trained Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 39074243 | DOI 10.1519/JSC.0000000000004867,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 39074243 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 39074243 | DOI 10.1519/JSC.0000000000004867,Impact of Leg Strength on the Force Produced During a Cross-Punch in Highly Trained Amateur Boxers.,Penn State full-text extraction,
PS-042,,,The study concluded that cross-punch force in highly trained amateur boxers is related to a greater angular velocity about the vertical axis during body rotation.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"12 male amateur boxers, body mass range 64.5–112.2 kg, mean 89.2 ± 17.0 kg (age not stated)",,,,NONE STATED,,NONE STATED,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Impact of Leg Strength on the Force Produced During a Cross-Punch in Highly Trained Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 39074243 | DOI 10.1519/JSC.0000000000004867,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 39074243 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 39074243 | DOI 10.1519/JSC.0000000000004867,Impact of Leg Strength on the Force Produced During a Cross-Punch in Highly Trained Amateur Boxers.,Penn State full-text extraction,
